Frame_Name,Start_X_px,Start_Y_px,End_X_px,End_Y_px,Center_X_px,Center_Y_px,Horizontal_Length_Microns
S1_H4_L1_p14_C04_T60_Seq001_Img000035.bmp,10,398,136,432,73,415,5332.72
S1_H4_L1_p14_C04_T60_Seq001_Img000036.bmp,39,224,121,236,80,230,3470.5
S1_H4_L1_p14_C04_T60_Seq001_Img000036.bmp,5,280,158,312,82,296,6475.45
S1_H4_L1_p14_C04_T60_Seq001_Img000037.bmp,52,61,148,75,100,68,4063.03
S1_H4_L1_p14_C04_T60_Seq001_Img000037.bmp,30,114,145,129,88,122,4867.17
S1_H4_L1_p14_C04_T60_Seq001_Img000037.bmp,20,426,99,446,60,436,3343.53
S1_H4_L1_p14_C04_T60_Seq001_Img000038.bmp,21,143,152,158,86,150,5544.34
S1_H4_L1_p14_C04_T60_Seq001_Img000038.bmp,30,196,132,211,81,204,4316.96
S1_H4_L1_p14_C04_T60_Seq001_Img000038.bmp,3,369,97,387,50,378,3978.38
S1_H4_L1_p14_C04_T60_Seq001_Img000039.bmp,2,250,103,262,52,256,4274.64
S1_H4_L1_p14_C04_T60_Seq001_Img000040.bmp,16,166,143,181,80,174,5375.04
S1_H4_L1_p14_C04_T60_Seq001_Img000042.bmp,77,37,169,54,123,46,3893.73
S1_H4_L1_p14_C04_T60_Seq001_Img000042.bmp,52,91,152,104,102,98,4232.32
S1_H4_L1_p14_C04_T60_Seq001_Img000042.bmp,5,309,143,337,74,323,5840.6
S1_H4_L1_p14_C04_T60_Seq001_Img000042.bmp,0,453,167,508,84,480,7067.97
S1_H4_L1_p14_C04_T60_Seq001_Img000042.bmp,0,477,118,510,59,494,4994.14
S1_H4_L1_p14_C04_T60_Seq001_Img000043.bmp,12,222,116,237,64,230,4401.61
S1_H4_L1_p14_C04_T60_Seq001_Img000044.bmp,15,399,143,435,79,417,5417.37
S1_H4_L1_p14_C04_T60_Seq001_Img000045.bmp,4,338,132,364,68,351,5417.37
S1_H4_L1_p14_C04_T60_Seq001_Img000046.bmp,115,43,139,47,127,45,1015.76
S1_H4_L1_p14_C04_T60_Seq001_Img000046.bmp,73,66,154,79,114,72,3428.18
S1_H4_L1_p14_C04_T60_Seq001_Img000046.bmp,12,197,126,210,69,204,4824.84
S1_H4_L1_p14_C04_T60_Seq001_Img000047.bmp,41,116,150,129,96,122,4613.23
S1_H4_L1_p14_C04_T60_Seq001_Img000047.bmp,1,366,118,394,60,380,4951.81
S1_H4_L1_p14_C04_T60_Seq001_Img000048.bmp,31,143,146,156,88,150,4867.17
S1_H4_L1_p14_C04_T60_Seq001_Img000048.bmp,13,251,113,267,63,259,4232.32
S1_H4_L1_p14_C04_T60_Seq001_Img000049.bmp,5,280,160,313,82,296,6560.09
S1_H4_L1_p14_C04_T60_Seq001_Img000050.bmp,3,478,104,506,54,492,4274.64
S1_H4_L1_p14_C04_T60_Seq001_Img000051.bmp,61,38,170,55,116,46,4613.23
S1_H4_L1_p14_C04_T60_Seq001_Img000051.bmp,100,69,120,72,110,70,846.46
S1_H4_L1_p14_C04_T60_Seq001_Img000051.bmp,70,93,156,109,113,101,3639.79
S1_H4_L1_p14_C04_T60_Seq001_Img000051.bmp,7,168,158,186,82,177,6390.8
S1_H4_L1_p14_C04_T60_Seq001_Img000052.bmp,13,222,135,239,74,230,5163.43
S1_H4_L1_p14_C04_T60_Seq001_Img000052.bmp,7,398,144,438,76,418,5798.28
S1_H4_L1_p14_C04_T60_Seq001_Img000052.bmp,14,454,145,498,80,476,5544.34
S1_H4_L1_p14_C04_T60_Seq001_Img000053.bmp,14,310,165,343,90,326,6390.8
S1_H4_L1_p14_C04_T60_Seq001_Img000054.bmp,14,338,109,357,62,348,4020.7
S1_H4_L1_p14_C04_T60_Seq001_Img000055.bmp,55,62,154,78,104,70,4190.0
S1_H4_L1_p14_C04_T60_Seq001_Img000055.bmp,42,199,127,210,84,204,3597.47
S1_H4_L1_p14_C04_T60_Seq001_Img000056.bmp,48,116,154,131,101,124,4486.26
S1_H4_L1_p14_C04_T60_Seq001_Img000056.bmp,9,251,106,262,58,256,4105.35
S1_H4_L1_p14_C04_T60_Seq001_Img000056.bmp,8,370,115,393,62,382,4528.58
S1_H4_L1_p14_C04_T60_Seq001_Img000058.bmp,66,92,143,104,104,98,3258.89
S1_H4_L1_p14_C04_T60_Seq001_Img000058.bmp,49,145,162,160,106,152,4782.52
